ID,name,versionNumber,contentType,dataFileSizeBytes,createdBy,createdOn,modifiedBy,modifiedOn,parentId,synapseURL,dataFileMD5Hex,path,error
syn53625148,Suj_503_extero_res256_fil0530_CH.set,1,application/octet-stream,105680,3473196,1708053334641,3473196,1708053334641,syn53625146,https://www.synapse.org/#!Synapse:syn53625148.1,b874e1fa10451bb44f33740687afb329,c:\users\bhanu\.synapsecache\864\132937864\suj_503_extero_res256_fil0530_ch.set,
syn53625144,Suj_504_extero_res256_fil0530_CH.fdt,1,application/octet-stream,59140096,3473196,1708053329562,3473196,1708053329562,syn53625143,https://www.synapse.org/#!Synapse:syn53625144.1,7fc9b020eca620e9827c966008f93f91,c:\users\bhanu\.synapsecache\860\132937860\suj_504_extero_res256_fil0530_ch.fdt,
syn53625145,Suj_504_extero_res256_fil0530_CH.set,1,application/octet-stream,105680,3473196,1708053330825,3473196,1708053330825,syn53625143,https://www.synapse.org/#!Synapse:syn53625145.1,87b582b04b7bd4686ef0e944c1fe2c73,c:\users\bhanu\.synapsecache\861\132937861\suj_504_extero_res256_fil0530_ch.set,
syn53625141,Suj_505_extero_res256_fil0530_CH.fdt,1,application/octet-stream,57767936,3473196,1708053325436,3473196,1708053325436,syn53625140,https://www.synapse.org/#!Synapse:syn53625141.1,4efde00da08fb6bd8b7b75f18609c607,c:\users\bhanu\.synapsecache\834\132937834\suj_505_extero_res256_fil0530_ch.fdt,
syn53625142,Suj_505_extero_res256_fil0530_CH.set,1,application/octet-stream,105680,3473196,1708053326694,3473196,1708053326694,syn53625140,https://www.synapse.org/#!Synapse:syn53625142.1,ecd57b1c15a1a08b0927b9bcd9a886f0,c:\users\bhanu\.synapsecache\838\132937838\suj_505_extero_res256_fil0530_ch.set,
syn53625138,Suj_506_extero_res256_fil0530_CH.fdt,1,application/octet-stream,58454016,3473196,1708053321485,3473196,1708053321485,syn53625137,https://www.synapse.org/#!Synapse:syn53625138.1,6d4be9327f453bc4fbd362a5176ae955,c:\users\bhanu\.synapsecache\831\132937831\suj_506_extero_res256_fil0530_ch.fdt,
syn53625139,Suj_506_extero_res256_fil0530_CH.set,1,application/octet-stream,105680,3473196,1708053322821,3473196,1708053322821,syn53625137,https://www.synapse.org/#!Synapse:syn53625139.1,7593cfb5bb7b0dadb53b179b0d339fc1,c:\users\bhanu\.synapsecache\832\132937832\suj_506_extero_res256_fil0530_ch.set,
syn53625135,Suj_507_extero_res256_fil0530_CH.fdt,1,application/octet-stream,59551744,3473196,1708053317610,3473196,1708053317610,syn53625134,https://www.synapse.org/#!Synapse:syn53625135.1,4d25233b3080609f41a7a9905e052015,c:\users\bhanu\.synapsecache\829\132937829\suj_507_extero_res256_fil0530_ch.fdt,
syn53625136,Suj_507_extero_res256_fil0530_CH.set,1,application/octet-stream,105680,3473196,1708053318884,3473196,1708053318884,syn53625134,https://www.synapse.org/#!Synapse:syn53625136.1,151f913d891cb7ae65f7f1c6ae1af809,c:\users\bhanu\.synapsecache\830\132937830\suj_507_extero_res256_fil0530_ch.set,
syn53625132,Suj_508_extero_res256_fil0530_CH.fdt,1,application/octet-stream,58591232,3473196,1708053313760,3473196,1708053313760,syn53625131,https://www.synapse.org/#!Synapse:syn53625132.1,40328c86c8d8d85e1d979cec8f2898a2,c:\users\bhanu\.synapsecache\706\132937706\suj_508_extero_res256_fil0530_ch.fdt,
syn53625133,Suj_508_extero_res256_fil0530_CH.set,1,application/octet-stream,105680,3473196,1708053315021,3473196,1708053315021,syn53625131,https://www.synapse.org/#!Synapse:syn53625133.1,11d1a6ac3f4bb084ed82184a674fb66d,c:\users\bhanu\.synapsecache\711\132937711\suj_508_extero_res256_fil0530_ch.set,
syn53625123,Suj_510_MW_res256_fil0530_CH.fdt,1,application/octet-stream,58454016,3473196,1708053304445,3473196,1708053304445,syn53625122,https://www.synapse.org/#!Synapse:syn53625123.1,2138e33b5730f86da64bc7c6a9d2b0b5,c:\users\bhanu\.synapsecache\679\132937679\suj_510_mw_res256_fil0530_ch.fdt,
syn53625124,Suj_510_MW_res256_fil0530_CH.set,1,application/octet-stream,105648,3473196,1708053305736,3473196,1708053305736,syn53625122,https://www.synapse.org/#!Synapse:syn53625124.1,587ba60595434e1136ef13029267ca35,c:\users\bhanu\.synapsecache\681\132937681\suj_510_mw_res256_fil0530_ch.set,
syn53625120,Suj_511_MW_res256_fil0530_CH.fdt,1,application/octet-stream,60786688,3473196,1708053300555,3473196,1708053300555,syn53625119,https://www.synapse.org/#!Synapse:syn53625120.1,467998ae91b56994247552ac238b996d,c:\users\bhanu\.synapsecache\661\132937661\suj_511_mw_res256_fil0530_ch.fdt,
syn53625121,Suj_511_MW_res256_fil0530_CH.set,1,application/octet-stream,105648,3473196,1708053301822,3473196,1708053301822,syn53625119,https://www.synapse.org/#!Synapse:syn53625121.1,ad1a5dce12118dd39f0d009e93cefbb7,c:\users\bhanu\.synapsecache\662\132937662\suj_511_mw_res256_fil0530_ch.set,
syn53621976,s00415_CH_PD_reject.set,1,application/octet-stream,866496,3473196,1708029625075,3473196,1708029625075,syn53621971,https://www.synapse.org/#!Synapse:syn53621976.1,ea0b735e38140ff55afacb4731890f27,c:\users\bhanu\.synapsecache\407\133191407\s00415_ch_pd_reject.set,
syn53622437,s40001_AR_PD_reject.fdt,1,application/octet-stream,94371840,3473196,1708031388926,3473196,1708031388926,syn53622436,https://www.synapse.org/#!Synapse:syn53622437.1,aaa8773251fa86a72cddf59d8052d68d,c:\users\bhanu\.synapsecache\444\133192444\s40001_ar_pd_reject.fdt,
syn53622438,s40001_AR_PD_reject.set,1,application/octet-stream,578608,3473196,1708031391624,3473196,1708031391624,syn53622436,https://www.synapse.org/#!Synapse:syn53622438.1,67f68e0eb05ca1538e2f2a8f6db0a603,c:\users\bhanu\.synapsecache\445\133192445\s40001_ar_pd_reject.set,
syn53622392,s40001_CH_PD_reject.fdt,1,application/octet-stream,151781376,3473196,1708030976283,3473196,1708030976283,syn53622391,https://www.synapse.org/#!Synapse:syn53622392.1,bedea4829cc3daa54f4be169eeacf759,c:\users\bhanu\.synapsecache\279\133192279\s40001_ch_pd_reject.fdt,
syn53622397,s40001_CH_PD_reject.set,1,application/octet-stream,853640,3473196,1708030979011,3473196,1708030979011,syn53622391,https://www.synapse.org/#!Synapse:syn53622397.1,40477db4373396b32cab0fe9c743389a,c:\users\bhanu\.synapsecache\284\133192284\s40001_ch_pd_reject.set,
syn53622388,s40004_CH_PD_reject.fdt,1,application/octet-stream,135266304,3473196,1708030919785,3473196,1708030919785,syn53622387,https://www.synapse.org/#!Synapse:syn53622388.1,ba3580a62b8c9c8a96c498a0edb3eab9,c:\users\bhanu\.synapsecache\257\133192257\s40004_ch_pd_reject.fdt,
syn53622389,s40004_CH_PD_reject.set,1,application/octet-stream,774544,3473196,1708030923021,3473196,1708030923021,syn53622387,https://www.synapse.org/#!Synapse:syn53622389.1,5d4dd0992c082cf183d61280c15aa6e8,c:\users\bhanu\.synapsecache\258\133192258\s40004_ch_pd_reject.set,
syn53622433,s40006_AR_PD_reject.fdt,1,application/octet-stream,99614720,3473196,1708031357272,3473196,1708031357272,syn53622432,https://www.synapse.org/#!Synapse:syn53622433.1,a304b6ac80d1a76c004859b4c40b6959,c:\users\bhanu\.synapsecache\433\133192433\s40006_ar_pd_reject.fdt,
syn53622434,s40006_AR_PD_reject.set,1,application/octet-stream,603520,3473196,1708031360086,3473196,1708031360086,syn53622432,https://www.synapse.org/#!Synapse:syn53622434.1,91db4951f0861a21b3a1ad5d631e13c2,c:\users\bhanu\.synapsecache\435\133192435\s40006_ar_pd_reject.set,
syn53622381,s40006_CH_PD_reject.fdt,1,application/octet-stream,153354240,3473196,1708030690956,3473196,1708030690956,syn53622379,https://www.synapse.org/#!Synapse:syn53622381.1,3861502a593c096ff60011b8830dffc5,c:\users\bhanu\.synapsecache\188\133192188\s40006_ch_pd_reject.fdt,
syn53622382,s40006_CH_PD_reject.set,1,application/octet-stream,860872,3473196,1708030693843,3473196,1708030693843,syn53622379,https://www.synapse.org/#!Synapse:syn53622382.1,3c012ddb632754a6e8f1f670a07d6fec,c:\users\bhanu\.synapsecache\189\133192189\s40006_ch_pd_reject.set,
syn53622429,s40008_AR_PD_reject.fdt,1,application/octet-stream,96731136,3473196,1708031324675,3473196,1708031324675,syn53622426,https://www.synapse.org/#!Synapse:syn53622429.1,f626f8d244fa74523c6155d4ccbfbb4d,c:\users\bhanu\.synapsecache\424\133192424\s40008_ar_pd_reject.fdt,
syn53622430,s40008_AR_PD_reject.set,1,application/octet-stream,589640,3473196,1708031328502,3473196,1708031328502,syn53622426,https://www.synapse.org/#!Synapse:syn53622430.1,020fb95f10f15a04ceafcfbe6ddacce3,c:\users\bhanu\.synapsecache\427\133192427\s40008_ar_pd_reject.set,
syn53622362,s40009_CH_PD_reject.fdt,1,application/octet-stream,159645696,3473196,1708030312535,3473196,1708030312535,syn53622360,https://www.synapse.org/#!Synapse:syn53622362.1,e8d2a465f2c6aed08ed9a1bc700cfdb5,c:\users\bhanu\.synapsecache\975\133191975\s40009_ch_pd_reject.fdt,
syn53622363,s40009_CH_PD_reject.set,1,application/octet-stream,892568,3473196,1708030315376,3473196,1708030315376,syn53622360,https://www.synapse.org/#!Synapse:syn53622363.1,ac17c72d02cb3c54c4389f07e9d75225,c:\users\bhanu\.synapsecache\976\133191976\s40009_ch_pd_reject.set,
syn53622423,s40010_AR_PD_reject.fdt,1,application/octet-stream,101187584,3473196,1708031293034,3473196,1708031293034,syn53622420,https://www.synapse.org/#!Synapse:syn53622423.1,99e3f9b3e0b39064a1e21e51a04acdd6,c:\users\bhanu\.synapsecache\410\133192410\s40010_ar_pd_reject.fdt,
syn53622424,s40010_AR_PD_reject.set,1,application/octet-stream,610800,3473196,1708031295831,3473196,1708031295831,syn53622420,https://www.synapse.org/#!Synapse:syn53622424.1,c7d781a8205f7ebdcfc06d5d09013879,c:\users\bhanu\.synapsecache\412\133192412\s40010_ar_pd_reject.set,
syn53622417,s40011_AR_PD_reject.fdt,1,application/octet-stream,77070336,3473196,1708031260024,3473196,1708031260024,syn53622415,https://www.synapse.org/#!Synapse:syn53622417.1,df29d98ba2f9ada0832724487839ba1e,c:\users\bhanu\.synapsecache\398\133192398\s40011_ar_pd_reject.fdt,
syn53622418,s40011_AR_PD_reject.set,1,application/octet-stream,496344,3473196,1708031262717,3473196,1708031262717,syn53622415,https://www.synapse.org/#!Synapse:syn53622418.1,0f40b8fcde9584779e33c321ff9a10d0,c:\users\bhanu\.synapsecache\399\133192399\s40011_ar_pd_reject.set,
syn53622347,s40011_CH_PD_reject.fdt,1,application/octet-stream,148373504,3473196,1708030092516,3473196,1708030092516,syn53622344,https://www.synapse.org/#!Synapse:syn53622347.1,f9418b6d8f8db385f211d3d2d993e29c,c:\users\bhanu\.synapsecache\883\133191883\s40011_ch_pd_reject.fdt,
syn53622348,s40011_CH_PD_reject.set,1,application/octet-stream,838488,3473196,1708030095162,3473196,1708030095162,syn53622344,https://www.synapse.org/#!Synapse:syn53622348.1,d11a7310edbae433c9734fb27123dc57,c:\users\bhanu\.synapsecache\887\133191887\s40011_ch_pd_reject.set,
syn53622412,s40012_AR_PD_reject.fdt,1,application/octet-stream,105119744,3473196,1708031232821,3473196,1708031232821,syn53622411,https://www.synapse.org/#!Synapse:syn53622412.1,823358abd590ea84f964209d5047ab18,c:\users\bhanu\.synapsecache\387\133192387\s40012_ar_pd_reject.fdt,
syn53622413,s40012_AR_PD_reject.set,1,application/octet-stream,629760,3473196,1708031235575,3473196,1708031235575,syn53622411,https://www.synapse.org/#!Synapse:syn53622413.1,b4864ffd16a1c76af9f9cc0a7dbee143,c:\users\bhanu\.synapsecache\388\133192388\s40012_ar_pd_reject.set,
syn53622408,s40013_AR_PD_reject.fdt,1,application/octet-stream,109760512,3473196,1708031198843,3473196,1708031198843,syn53622407,https://www.synapse.org/#!Synapse:syn53622408.1,ce191409f23dbeb178307ff428deb80b,c:\users\bhanu\.synapsecache\376\133192376\s40013_ar_pd_reject.fdt,
syn53622409,s40013_AR_PD_reject.set,1,application/octet-stream,428976,3473196,1708031201553,3473196,1708031201553,syn53622407,https://www.synapse.org/#!Synapse:syn53622409.1,cc417552a54d0c40ab5a8416d43e8b3e,c:\users\bhanu\.synapsecache\378\133192378\s40013_ar_pd_reject.set,
syn53622036,s40015_CH_PD_reject.fdt,1,application/octet-stream,154402816,3473196,1708029674531,3473196,1708029674531,syn53621971,https://www.synapse.org/#!Synapse:syn53622036.1,ce6b4413f9c3d546042c1a87714e70f6,c:\users\bhanu\.synapsecache\471\133191471\s40015_ch_pd_reject.fdt,
syn53497879,s6_sub-100010_rs_eeg.fdt,1,application/octet-stream,157966336,3473196,1707744334510,3473196,1707744334510,syn53497878,https://www.synapse.org/#!Synapse:syn53497879.1,f42d602249fd0f9272b2974a50768d5d,c:\users\bhanu\.synapsecache\167\133033167\s6_sub-100010_rs_eeg.fdt,
syn53497880,s6_sub-100010_rs_eeg.set,1,application/octet-stream,3244808,3473196,1707744338196,3473196,1707744338196,syn53497878,https://www.synapse.org/#!Synapse:syn53497880.1,79f69de6f6bcaad70db76f24ab06d976,c:\users\bhanu\.synapsecache\168\133033168\s6_sub-100010_rs_eeg.set,
syn53497875,s6_sub-100011_rs_eeg.fdt,1,application/octet-stream,158386688,3473196,1707744270845,3473196,1707744270845,syn53497874,https://www.synapse.org/#!Synapse:syn53497875.1,a29f76b713c961212c282fba48cfd7a9,c:\users\bhanu\.synapsecache\165\133033165\s6_sub-100011_rs_eeg.fdt,
syn53497876,s6_sub-100011_rs_eeg.set,1,application/octet-stream,3249328,3473196,1707744274035,3473196,1707744274035,syn53497874,https://www.synapse.org/#!Synapse:syn53497876.1,9471e102db98602a2eb8d8e41f55cd8e,c:\users\bhanu\.synapsecache\166\133033166\s6_sub-100011_rs_eeg.set,
syn53498107,s6_sub-100012_rs_eeg.fdt,1,application/octet-stream,90594304,3473196,1707749974152,3473196,1707749974152,syn53498103,https://www.synapse.org/#!Synapse:syn53498107.1,19aaee9cf3485635e0ad658186c31b80,c:\users\bhanu\.synapsecache\838\133033838\s6_sub-100012_rs_eeg.fdt,
syn53498109,s6_sub-100012_rs_eeg.set,1,application/octet-stream,2190072,3473196,1707749976770,3473196,1707749976770,syn53498103,https://www.synapse.org/#!Synapse:syn53498109.1,d68ea863301e6d9eb61112c2e6c84711,c:\users\bhanu\.synapsecache\839\133033839\s6_sub-100012_rs_eeg.set,
syn53497872,s6_sub-100013_rs_eeg.set,1,application/octet-stream,3192280,3473196,1707744147798,3473196,1707744147798,syn53497871,https://www.synapse.org/#!Synapse:syn53497872.1,846cbd0c40ca345c94c923df150b78ab,c:\users\bhanu\.synapsecache\162\133033162\s6_sub-100013_rs_eeg.set,
syn53497868,s6_sub-100014_rs_eeg.fdt,1,application/octet-stream,138247168,3473196,1707744140950,3473196,1707744140950,syn53497867,https://www.synapse.org/#!Synapse:syn53497868.1,c3d2d0ee6ff200c63a11299cbebbac31,c:\users\bhanu\.synapsecache\160\133033160\s6_sub-100014_rs_eeg.fdt,
syn53497869,s6_sub-100014_rs_eeg.set,1,application/octet-stream,2934648,3473196,1707744144105,3473196,1707744144105,syn53497867,https://www.synapse.org/#!Synapse:syn53497869.1,1e08e68f34dfd6eb3fd59258209844e8,c:\users\bhanu\.synapsecache\161\133033161\s6_sub-100014_rs_eeg.set,
syn53498099,s6_sub-100015_rs_eeg.fdt,1,application/octet-stream,107516416,3473196,1707749943415,3473196,1707749943415,syn53498098,https://www.synapse.org/#!Synapse:syn53498099.1,0c888d36051194aadd97496e1d774319,c:\users\bhanu\.synapsecache\834\133033834\s6_sub-100015_rs_eeg.fdt,
syn53498101,s6_sub-100015_rs_eeg.set,1,application/octet-stream,2456528,3473196,1707749946192,3473196,1707749946192,syn53498098,https://www.synapse.org/#!Synapse:syn53498101.1,f051a9569183054d43dec25fae3cba72,c:\users\bhanu\.synapsecache\836\133033836\s6_sub-100015_rs_eeg.set,
syn53497864,s6_sub-100016_rs_eeg.fdt,1,application/octet-stream,144765440,3473196,1707744093630,3473196,1707744093630,syn53497863,https://www.synapse.org/#!Synapse:syn53497864.1,7d750ea28ca8a6996c1d5d9b690b9b4b,c:\users\bhanu\.synapsecache\158\133033158\s6_sub-100016_rs_eeg.fdt,
syn53497865,s6_sub-100016_rs_eeg.set,1,application/octet-stream,3038544,3473196,1707744096559,3473196,1707744096559,syn53497863,https://www.synapse.org/#!Synapse:syn53497865.1,56653804b2b1638258de236255aa2666,c:\users\bhanu\.synapsecache\159\133033159\s6_sub-100016_rs_eeg.set,
syn53497860,s6_sub-100017_rs_eeg.fdt,1,application/octet-stream,155139584,3473196,1707744050159,3473196,1707744050159,syn53497859,https://www.synapse.org/#!Synapse:syn53497860.1,f29cb14074d4830d7c25106a7b3e6eb4,c:\users\bhanu\.synapsecache\156\133033156\s6_sub-100017_rs_eeg.fdt,
syn53497861,s6_sub-100017_rs_eeg.set,1,application/octet-stream,3198592,3473196,1707744052875,3473196,1707744052875,syn53497859,https://www.synapse.org/#!Synapse:syn53497861.1,b28bef2e95f6a71b937324a80a698b39,c:\users\bhanu\.synapsecache\157\133033157\s6_sub-100017_rs_eeg.set,
syn53498095,s6_sub-100018_rs_eeg.fdt,1,application/octet-stream,94961152,3473196,1707749906064,3473196,1707749906064,syn53498092,https://www.synapse.org/#!Synapse:syn53498095.1,e72f2dfa851af569733b62330185f250,c:\users\bhanu\.synapsecache\832\133033832\s6_sub-100018_rs_eeg.fdt,
syn53498096,s6_sub-100018_rs_eeg.set,1,application/octet-stream,2260352,3473196,1707749908910,3473196,1707749908910,syn53498092,https://www.synapse.org/#!Synapse:syn53498096.1,2a22ff26976d0dbf591c65fd5fe143a9,c:\users\bhanu\.synapsecache\833\133033833\s6_sub-100018_rs_eeg.set,
syn53497857,s6_sub-100019_rs_eeg.set,1,application/octet-stream,3024192,3473196,1707744004656,3473196,1707744004656,syn53497856,https://www.synapse.org/#!Synapse:syn53497857.1,a1010b5b7591400a5d610a5b554f612b,c:\users\bhanu\.synapsecache\154\133033154\s6_sub-100019_rs_eeg.set,
syn53497883,s6_sub-10001_rs_eeg.fdt,1,application/octet-stream,148849152,3473196,1707744414719,3473196,1707744414719,syn53497882,https://www.synapse.org/#!Synapse:syn53497883.1,fb8469e7814968ca1f6c3112ddaabbdb,c:\users\bhanu\.synapsecache\169\133033169\s6_sub-10001_rs_eeg.fdt,
syn53497884,s6_sub-10001_rs_eeg.set,1,application/octet-stream,3102344,3473196,1707744417771,3473196,1707744417771,syn53497882,https://www.synapse.org/#!Synapse:syn53497884.1,582a2b40016c90c9d692037c031a943f,c:\users\bhanu\.synapsecache\170\133033170\s6_sub-10001_rs_eeg.set,
syn53498080,s6_sub-100020_rs_eeg.fdt,1,application/octet-stream,86138880,3473196,1707749842535,3473196,1707749842535,syn53498076,https://www.synapse.org/#!Synapse:syn53498080.1,b6f3d67af6ab6139aed0599f7f3cfdab,c:\users\bhanu\.synapsecache\820\133033820\s6_sub-100020_rs_eeg.fdt,
syn53498081,s6_sub-100020_rs_eeg.set,1,application/octet-stream,2118408,3473196,1707749845169,3473196,1707749845169,syn53498076,https://www.synapse.org/#!Synapse:syn53498081.1,5ec9a660070a8e96e72c1da8cfc0021a,c:\users\bhanu\.synapsecache\821\133033821\s6_sub-100020_rs_eeg.set,
syn53497853,s6_sub-100021_rs_eeg.fdt,1,application/octet-stream,149569024,3473196,1707743998266,3473196,1707743998266,syn53497852,https://www.synapse.org/#!Synapse:syn53497853.1,eed783df25b7618cbb125eb9573227ad,c:\users\bhanu\.synapsecache\150\133033150\s6_sub-100021_rs_eeg.fdt,
syn53497854,s6_sub-100021_rs_eeg.set,1,application/octet-stream,3111552,3473196,1707744001194,3473196,1707744001194,syn53497852,https://www.synapse.org/#!Synapse:syn53497854.1,cb97d850321dcd66d9122be42c671bc6,c:\users\bhanu\.synapsecache\151\133033151\s6_sub-100021_rs_eeg.set,
syn53498073,s6_sub-100022_rs_eeg.fdt,1,application/octet-stream,116810240,3473196,1707749814209,3473196,1707749814209,syn53498054,https://www.synapse.org/#!Synapse:syn53498073.1,9c0f5f1d987ace4294c9b9c27be72b85,c:\users\bhanu\.synapsecache\815\133033815\s6_sub-100022_rs_eeg.fdt,
syn53498074,s6_sub-100022_rs_eeg.set,1,application/octet-stream,2849256,3473196,1707749817002,3473196,1707749817002,syn53498054,https://www.synapse.org/#!Synapse:syn53498074.1,858c7ffd99adeae489c6bb93d0d80fc7,c:\users\bhanu\.synapsecache\816\133033816\s6_sub-100022_rs_eeg.set,
syn53497850,s6_sub-100023_rs_eeg.set,1,application/octet-stream,3226088,3473196,1707743951650,3473196,1707743951650,syn53497849,https://www.synapse.org/#!Synapse:syn53497850.1,7e5a7d9b1e706e2b0e04d575e64e5215,c:\users\bhanu\.synapsecache\145\133033145\s6_sub-100023_rs_eeg.set,
syn53498050,s6_sub-100024_rs_eeg.fdt,1,application/octet-stream,130038272,3473196,1707749740838,3473196,1707749740838,syn53498038,https://www.synapse.org/#!Synapse:syn53498050.1,8bd06278fb689f5f76c7236d2372fa3f,c:\users\bhanu\.synapsecache\793\133033793\s6_sub-100024_rs_eeg.fdt,
syn53498052,s6_sub-100024_rs_eeg.set,1,application/octet-stream,2806384,3473196,1707749749249,3473196,1707749749249,syn53498038,https://www.synapse.org/#!Synapse:syn53498052.1,dedef9f40058d6ef6342084376a45cf9,c:\users\bhanu\.synapsecache\795\133033795\s6_sub-100024_rs_eeg.set,
